url;title
https://mangalivre.net/moon-shadow-sword-emperor/online/481634/capitulo/44#/!page0;Moon-Shadow Sword Emperor (Parte 1) - Capítulo 44 por Random Scan
https://mangalivre.net/black-clover/online/486322/capitulo/368#/!page0;Black Clover - Capítulo 368 por Padaria Scans
https://mangalivre.net/shuumatsu-no-walkure/online/487857/capitulo/81#/!page0;Shuumatsu no Walküre - Capítulo 81 por Libélula Caótica Scans
https://mangalivre.net/return-of-the-disaster-class-hero/online/486533/capitulo/74#/!page0;Return of the Disaster-Class Hero - Capítulo 74 por Neox Scanlator
https://mangalivre.net/magic-level-99990000-all-attribute-great-sage/online/490882/capitulo/39;Magic Level 99990000 All-Attribute Great Sage - Capítulo 39 por Peach Scan
https://mangalivre.net/kenja-no-mago/online/490810/capitulo/73#/!page0;Kenja no Mago - Capítulo 73 por Neox Scanlator
https://mangalivre.net/devouring-infinite/online/489981/capitulo/32#/!page0;Devouring Infinite - Capítulo 32 por Argos Scan
https://mangalivre.net/tate-no-yuusha-no-nariagari/online/491247/capitulo/100#/!page0;Tate no Yuusha no Nariagari - Capítulo 100 por Taberu Mangás
https://mangalivre.net/academys-genius-swordmaster/online/482854/capitulo/6#/!page0;Academy's Genius Swordmaster - Capítulo 6 por Neox Scanlator
https://mangalivre.net/life-of-a-magic-academy-mage/online/480807/capitulo/48#/!page0;Life of a Magic Academy Mage - Capítulo 48 por Neox Scanlator
https://mangalivre.net/trash-of-the-counts-family/online/492059/capitulo/100#/!page0;Trash of the Count’s Family - Capítulo 100 por Neox Scanlator
https://mangalivre.net/limit-breaker/online/491548/capitulo/103#/!page0;Limit Breaker - Capítulo 103 por Argos Scan
https://mangalivre.net/level-1-player/online/487088/capitulo/74#/!page0;Level 1 Player - Capítulo 74 por Random Scan
https://mangalivre.net/blue-lock-episode-nagi/online/493339/capitulo/12#/!page0;Blue Lock: Episode Nagi - Capítulo 12 por Sirius Scanlator
